Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
93,Which of the following is true about linked list implementation of stack?,"In push operation, if new nodes are inserted at the beginning of linked list, then in pop operation, nodes must be removed from end.","In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from the beginning.",Both of the above,None of the above,E,"To keep the Last In First Out order, a stack can be implemented using linked list in two ways:

a) In push operation, if new nodes are inserted at the beginning of linked list, then in pop operation, nodes must be removed from beginning.

b) In push operation, if new nodes are inserted at the end of linked list, then in pop operation, nodes must be removed from end.",Stack,Medium,Medium,0.25
94,Which one of the following is an application of Stack Data Structure?,Managing function calls,The stock span problem,Arithmetic expression evaluation,All of the above,E,See http://en.wikipedia.org/wiki/Stack_(abstract_data_type)#Applications,Stack,Easy,Low,0.25
95,"The five items: A, B, C, D, and E are pushed in a stack, one after other starting from A. The stack is popped four items and each element is inserted in a queue. The two elements are deleted from the queue and pushed back on the stack. Now one item is popped from the stack. The popped item is",A,B,C,D,E,"When five items: A, B, C, D, and E are pushed in a stack: Order of stack becomes: A, B, C, D, and E (A at the bottom and E at the top.) stack is popped four items and each element is inserted in a queue: Order of queue: B, C, D, E (B at rear and E at the front) Order of stack after pop operations = A. Two elements deleted from the queue and pushed back on the stack: New order of stack = A, E, D(A at the bottom, D at the top) As D is on the top so when pop operation occurs D will be popped out. So, correct option is (D).",Stack,Hard,High,0.25
96,"Stack A has the entries a, b, c (with a on top). Stack B is empty. An entry popped out of stack A can be printed immediately or pushed to stack B. An entry popped out of the stack B can be only be printed. In this arrangement, which of the following permutations of a, b, c are not possible?",b a c,b c a,c a b,a b c,D,"Option (A):
Pop a from stack A
Push a to stack B
Print b
Print a from stack B
Print c from stack A
Order = b a c

Option (B):
Pop a from stack A
Push a to stack B
Print b from stack A
Print c from stack A
Print a from stack A
Order = b c a

Option (C):
Pop a from stack A
Push a to stack B
Pop b from stack A
Push b to stack B
Print c from stack A
Now, printing a will not be possible.
So, option (C) is incorrect.",Stack,Hard,High,0.25
97,"The five items: A, B, C, D, and E are pushed in a stack, one after other starting from A. The stack is popped four items and each element is inserted in a queue. The two elements are deleted from the queue and pushed back on the stack. Now one item is popped from the stack. The popped item is",A,B,C,D,E,"When five items: A, B, C, D, and E are pushed in a stack:
Order of stack becomes: A, B, C, D, and E (A at the bottom and E at the top.)
stack is popped four items and each element is inserted in a queue:
Order of queue: B, C, D, E (B at rear and E at the front)
Order of stack after pop operations = A
Two elements deleted from the queue and pushed back on the stack:
New order of stack = A, E, D(A at the bottom, D at the top)
As D is on the top so when pop operation occurs D will be popped out.

So, correct option is (D).",Stack,Hard,High,0.25
98,Consider the following statements:i.   First-in-first out types of computations are efficiently supported by STACKS.ii.  Implementing LISTS on linked lists is more efficient than implementing LISTS on an array for almost all the basic LIST operations.iii. Implementing QUEUES on a circular array is more efficient than implementing QUEUES on a linear array with two indices.iv.  Last-in-first-out type of computations are efficiently supported by QUEUES.Which of the following is correct?,(ii) is true,(i) and (ii) are true,(iii) is true,(ii) and (iv) are true,C,"The correct statement is:iii. Implementing QUEUES on a circular array is more efficient than implementing QUEUES on a linear array with two indices.Explanation:i. STACKS are used to implement Last-in-First-Out (LIFO) operations, not First-in-First-out (FIFO) operations. Therefore, statement i is incorrect.ii. Implementing LISTS on a linked list is more efficient for some operations, such as adding or removing elements in the middle of the list, but it is less efficient for other operations, such as accessing elements by index. Therefore, the statement is incorrect.iii. Implementing QUEUES on a circular array is more efficient than implementing QUEUES on a linear array with two indices. This is because with a circular array, the front and rear indices wrap around when they reach the end of the array, making it more efficient toenqueue and dequeue elements. Therefore, the statement is correct.iv. QUEUES are used to implement First-in-First-out (FIFO) operations, not Last-in-First-out (LIFO) operations. Therefore, statement iv is incorrect.Hence Option (C) is the correct answer.",Stack,Medium,Medium,0.25
99,The minimum number of stacks needed to implement a queue is,3,1,2,4,C,"Two stacks S1 &amp; S2 are required to implement a queue.This method makes sure that newly entered element is always at the top of stack 1, so that DeQueue operation just pops from stack1. To put the element at top of stack1, stack2 is used.Hence Option (C) is the correct answer.",Stack,Medium,High,0.25
100,"Following is pseudo code of a function that takes a Queue as an argument, and uses a stack S to do processing.&nbsp;
        C++
        
        void fun(Queue *Q) {
    Stack S;  // Say it creates an empty stack S

    // Run while Q is not empty
    while (!isEmpty(Q)) {
        // deQueue an item from Q and push the dequeued item to S
        push(&amp;S, deQueue(Q));
    }

    // Run while Stack S is not empty
    while (!isEmpty(&amp;S)) {
        // Pop an item from S and enqueue the popped item to Q
        enQueue(Q, pop(&amp;S));
    }
}

        
    
        C
        
        void fun(Queue *Q)
{
    Stack S;  // Say it creates an empty stack S

    // Run while Q is not empty
    while (!isEmpty(Q))
    {
        // deQueue an item from Q and push the dequeued item to S
        push(&amp;S, deQueue(Q));
    }

    // Run while Stack S is not empty
    while (!isEmpty(&amp;S))
    {
      // Pop an item from S and enqueue the popped item to Q
      enQueue(Q, pop(&amp;S));
    }
}

        
    
        Java
        
        void fun(Queue Q) {
    Stack S = new Stack();  // Say it creates an empty stack S

    // Run while Q is not empty
    while (!Q.isEmpty()) {
        // deQueue an item from Q and push the dequeued item to S
        S.push(Q.deQueue());
    }

    // Run while Stack S is not empty
    while (!S.isEmpty()) {
        // Pop an item from S and enqueue the popped item to Q
        Q.enQueue(S.pop());
    }
}

        
    
        Python
        
        def fun(Q):
    S = []  # Say it creates an empty stack S

    # Run while Q is not empty
    while not Q.is_empty():
        # deQueue an item from Q and push the dequeued item to S
        S.append(Q.deQueue())

    # Run while Stack S is not empty
    while S:
        # Pop an item from S and enqueue the popped item to Q
        Q.enQueue(S.pop())

        
    
        JavaScript
        
        function fun(Q) {
    let S = [];  // Say it creates an empty stack S

    // Run while Q is not empty
    while (!Q.isEmpty()) {
        // deQueue an item from Q and push the dequeued item to S
        S.push(Q.deQueue());
    }

    // Run while Stack S is not empty
    while (S.length &gt; 0) {
        // Pop an item from S and enqueue the popped item to Q
        Q.enQueue(S.pop());
    }
}

        
    What does the above function do in general?",Removes the last from Q,Keeps the Q same as it was before the call,Makes Q empty,Reverses the Q,D,"The function takes a queue Q as an argument. It dequeues all items of Q and pushes them to a stack S. Then pops all items of S and enqueues the items back to Q. Since the stack is LIFO order, all items of the queue are reversed.Hence option (D) is the correct answer.",Queue,Medium,High,0.25
101,"How many stacks are needed to implement a queue. Consider the situation where no other data structure like arrays, linked list is available to you.",1,2,3,4,B,A queue can be implemented using two stacks.Refer this for more reference:https://www.geeksforgeeks.org/queue-using-stacks/Hence Option(B) is the correct answer.,Queue,Medium,High,0.25
102,Which of the following operations on a queue data structure has a time complexity of O(1)?&nbsp;A) Enqueue&nbsp;B) Dequeue&nbsp;C) Peek&nbsp;D) Clear,A and B,B only,C only,A and D&nbsp;,B,"In a queue data structure, dequeueing (removing an element from the front of the queue) typically has a time complexity of O(1) because it involves removing the first element and adjusting the front pointer.&nbsp;Hence, Option B is the correct option.",Queue,Easy,Low,0.25
103,A priority queue can efficiently implemented using which of the following data structures? Assume that the number of insert and peek (operation to see the current highest priority item) and extraction (remove the highest priority item) operations are almost same.,Array,Linked List,"Heap Data Structures like Binary Heap, Fibonacci Heap",None of the above,C,"A priority queue can be efficiently implemented using a data structure called a binary heap or Fibonacci Heap. A binary heap is a complete binary tree that satisfies the heap property. Binary heaps provide excellent time complexity for these operations, making them an efficient choice for implementing priority queues when the number of insert and peek/extraction operations is roughly equal.Hence option(C) is the correct answer.",Queue,Medium,High,0.25
104,Which of the following is true about linked list implementation of queue?,"In push operation, if new nodes are inserted at the beginning of linked list, then in pop operation, nodes must be removed from end.","In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from the beginning.",Both of the above,None of the above,C,"To keep the First In First Out order, a queue can be implemented using a linked list in any of the given two ways.Hence option (C) is the correct answer.",Queue,Medium,Medium,0.25
105,"A Priority-Queue is implemented as a Max-Heap. Initially, it has 5 elements. The level-order traversal of the heap is given below: 10, 8, 5, 3, 2 Two new elements ”1‘ and ”7‘ are inserted in the heap in that order. The level-order traversal of the heap after the insertion of the elements is:","10, 8, 7, 5, 3, 2, 1","10, 8, 7, 2, 3, 1, 5","10, 8, 7, 1, 2, 3, 5","10, 8, 7, 3, 2, 1, 5",D,"The output will be 10, 8, &nbsp;7, 3, 2, 1, 5.Refer the image for clarification:&nbsp;Hence Option(D) is the correct answer.",Queue,Hard,High,0.25
